,Player,Club,Appearances
0,Cristiano Ronaldo,Real Madrid CF,101
1,Cristiano Ronaldo,Juventus,23
2,Cristiano Ronaldo,Manchester United FC,59
3,Iker Casillas,Real Madrid CF,150
4,Iker Casillas,FC Porto,27
5,Lionel Messi,FC Barcelona,149
6,Lionel Messi,Paris Saint-Germain,7
7,Xavi Hernández,FC Barcelona,151
8,Karim Benzema,Olympique Lyonnais,19
9,Karim Benzema,Real Madrid CF,123
10,Raúl González,Real Madrid CF,130
11,Raúl González,FC Schalke 04,12
12,Ryan Giggs,Manchester United FC,141
13,Thomas Müller,FC Bayern München,(10)
14,Andrés Iniesta,FC Barcelona,130
15,Sergio Ramos,Real Madrid CF,129
16,Manuel Neuer,FC Schalke 04,22
17,Manuel Neuer,FC Bayern München,106
18,Toni Kroos,FC Bayern München,41
19,Toni Kroos,Real Madrid CF,86
20,Sergio Busquets,FC Barcelona,125
21,Clarence Seedorf,AFC Ajax,11
22,Clarence Seedorf,Real Madrid CF,25
23,Clarence Seedorf,AC Milan,89
24,Gianluigi Buffon,Parma FC,6
25,Gianluigi Buffon,Paris Saint-Germain,5
26,Gianluigi Buffon,Juventus,113
27,Zlatan Ibrahimović,AFC Ajax,19
28,Zlatan Ibrahimović,Juventus,19
29,Zlatan Ibrahimović,FC Internazionale Milano,22
30,Zlatan Ibrahimović,FC Barcelona,10
31,Zlatan Ibrahimović,Paris Saint-Germain,33
32,Zlatan Ibrahimović,Manchester United FC,1
33,Zlatan Ibrahimović,AC Milan,20
34,Gerard Piqué,Manchester United FC,4
35,Gerard Piqué,FC Barcelona,120
36,Paul Scholes,Manchester United FC,124
37,Roberto Carlos,Real Madrid CF,107
38,Roberto Carlos,Fenerbahçe SK,13
39,Xabi Alonso,Real Sociedad de Fútbol,8
40,Xabi Alonso,Liverpool FC,39
41,Xabi Alonso,Real Madrid CF,47
42,Xabi Alonso,FC Bayern München,25
43,Carles Puyol,FC Barcelona,115
44,Thierry Henry,AS Monaco FC,9
45,Thierry Henry,FC Barcelona,26
46,Thierry Henry,Arsenal FC,77
47,Philipp Lahm,VfB Stuttgart,7
48,Philipp Lahm,FC Bayern München,105
49,Dani Alves,Sevilla FC,8
50,Dani Alves,FC Barcelona,80
51,Dani Alves,Juventus,12
52,Dani Alves,Paris Saint-Germain,11
53,Petr Čech,AC Sparta Praha,12
54,Petr Čech,Chelsea FC,94
55,Petr Čech,Arsenal FC,5
56,Arjen Robben,PSV Eindhoven,10
57,Arjen Robben,Chelsea FC,19
58,Arjen Robben,Real Madrid CF,11
59,Arjen Robben,FC Bayern München,70
60,Pepe,Real Madrid CF,71
61,Pepe,Beşiktaş JK,6
62,Pepe,FC Porto,32
63,Paolo Maldini,AC Milan,109
64,Gary Neville,Manchester United FC,109
65,John Terry,Chelsea FC,109
66,Ashley Cole,Arsenal FC,45
67,Ashley Cole,Chelsea FC,60
68,Ashley Cole,AS Roma,3
69,Patrice Evra,AS Monaco FC,21
70,Patrice Evra,Manchester United FC,65
71,Patrice Evra,Juventus,22
72,Andrea Pirlo,FC Internazionale Milano,5
73,Andrea Pirlo,AC Milan,78
74,Andrea Pirlo,Juventus,25
75,David Beckham,Manchester United FC,77
76,David Beckham,Real Madrid CF,26
77,David Beckham,AC Milan,2
78,David Beckham,Paris Saint-Germain,2
79,Luka Modrić,Tottenham Hotspur,8
80,Luka Modrić,Real Madrid CF,99
81,Robert Lewandowski,Borussia Dortmund,28
82,Robert Lewandowski,FC Bayern München,78
83,Víctor Valdés,FC Barcelona,106
84,Frank Lampard,Chelsea FC,102
85,Frank Lampard,Manchester City FC,3
86,Cesc Fàbregas,Arsenal FC,55
87,Cesc Fàbregas,FC Barcelona,26
88,Cesc Fàbregas,Chelsea FC,23
89,David Alaba,FC Bayern München,91
90,David Alaba,Real Madrid CF,12
91,Oliver Kahn,FC Bayern München,103
92,Luís Figo,FC Barcelona,24
93,Luís Figo,Real Madrid CF,58
94,Luís Figo,FC Internazionale Milano,21
95,Fernandinho,FC Shakhtar Donetsk,30
96,Fernandinho,Manchester City FC,73
97,Marcelo,Real Madrid CF,102
98,Andriy Shevchenko,AC Milan,59
99,Andriy Shevchenko,Chelsea FC,15
