Row,Column,Value
1,1,0.01
1,2,0.02
1,3,0.03
1,4,0.04
1,5,0.05
1,6,0.06
1,7,0.07
1,8,0.08
1,9,0.09
1,10,.1
2,1,0.11
2,2,0.12
2,3,0.13
2,4,0.14
2,5,0.15
2,6,0.16
2,7,0.17
2,8,0.18
2,9,0.19
2,10,0.2
3,1,0.21
3,2,0.22
3,3,0.23
3,4,0.24
3,5,0.25
3,6,0.26
3,7,0.27
3,8,0.28
3,9,0.29
3,10,0.3
4,1,0.31
4,2,0.32
4,3,0.33
4,4,0.34
4,5,0.35
4,6,0.36
4,7,0.37
4,8,0.38
4,9,0.39
4,10,0.4
5,1,0.41
5,2,0.42
5,3,0.43
5,4,0.44
5,5,0.45
5,6,0.46
5,7,0.47
5,8,0.48
5,9,0.49
5,10,0.5
6,1,0.51
6,2,0.52
6,3,0.53
6,4,0.54
6,5,0.55
6,6,0.56
6,7,0.57
6,8,0.58
6,9,0.59
6,10,0.6
7,1,0.61
7,2,0.62
7,3,0.63
7,4,0.64
7,5,0.65
7,6,0.66
7,7,0.67
7,8,0.68
7,9,0.69
7,10,0.7
8,1,0.71
8,2,0.72
8,3,0.73
8,4,0.74
8,5,0.75
8,6,0.76
8,7,0.77
8,8,0.78
8,9,0.79
8,10,0.8
9,1,0.81
9,2,0.82
9,3,0.83
9,4,0.84
9,5,0.85
9,6,0.86
9,7,0.87
9,8,0.88
9,9,0.89
9,10,0.9
10,1,0.91
10,2,0.92
10,3,0.93
10,4,0.94
10,5,0.95
10,6,0.96
10,7,0.97
10,8,0.98
10,9,0.99
10,10,1.00
