Shipment_ID,Origin_Warehouse,Destination,Carrier,Shipment_Date,Delivery_Date,Weight_kg,Cost,Status,Distance_miles,Transit_Days
SH10000,Warehouse_MIA,San Francisco,UPS,02/10/2023,04/10/2023,25.7,67.46,Delivered,291,2
SH10001,Warehouse_MIA,Atlanta,DHL,06/12/2023,09/12/2023,38.9,268.85,Delivered,1225,3
SH10002,Warehouse_LA,Houston,DHL,18/09/2023,20/09/2023,37.2,74.35,Delivered,220,2
SH10003,Warehouse_BOS,Seattle,OnTrac,26/01/2023,04/02/2023,42.6,187.04,Delivered,1156,9
SH10004,Warehouse_SF,Dallas,OnTrac,03/06/2023,06/06/2023,7.9,120.01,Delivered,1017,3
SH10005,Warehouse_ATL,New York,FedEx,13/09/2023,16/09/2023,9.1,143.26,Delivered,898,3
SH10006,Warehouse_BOS,Houston,UPS,19/10/2023,23/10/2023,0.4,225.23,Delivered,1522,4
SH10007,Warehouse_CHI,Portland,Amazon Logistics,27/02/2023,08/03/2023,16.7,281.23,Delivered,2013,9
SH10008,Warehouse_HOU,Detroit,Amazon Logistics,24/11/2023,01/12/2023,15.1,341.93,Delivered,2072,7
SH10009,Warehouse_SF,Detroit,LaserShip,19/01/2023,21/01/2023,27.7,55.24,Delivered,214,2
SH10010,Warehouse_MIA,Chicago,FedEx,02/02/2023,07/02/2023,7.1,251.53,Delivered,1736,5
SH10011,Warehouse_ATL,Boston,Amazon Logistics,28/05/2023,04/06/2023,38.2,357.12,Delayed,2366,6
SH10012,Warehouse_SEA,New York,FedEx,08/08/2023,13/08/2023,34.4,121.14,Delivered,650,5
SH10013,Warehouse_NYC,Phoenix,UPS,28/12/2023,03/01/2024,20.7,272.48,Delivered,1574,6
SH10014,Warehouse_BOS,Miami,FedEx,24/07/2023,30/07/2023,12.5,266.08,Delivered,1849,6
SH10015,Warehouse_DEN,Minneapolis,OnTrac,10/05/2023,16/05/2023,28.6,221.21,Delivered,1489,6
SH10016,Warehouse_CHI,Detroit,USPS,25/01/2023,26/01/2023,24.1,60.27,Lost,283,1
SH10017,Warehouse_LA,San Francisco,OnTrac,08/06/2023,11/06/2023,43.2,80.6,In Transit,223,3
SH10018,Warehouse_ATL,Atlanta,OnTrac,16/10/2023,25/10/2023,6.3,124.52,Delivered,1055,9
SH10019,Warehouse_MIA,Portland,DHL,16/01/2023,21/01/2023,51.2,290.72,Delivered,1660,5
SH10020,Warehouse_MIA,Miami,FedEx,10/08/2023,11/07/2023,7.8,216.42,Delivered,1696,5
SH10021,Warehouse_SEA,Houston,LaserShip,23/08/2023,27/08/2023,29.6,216.63,Returned,1407,4
SH10022,Warehouse_CHI,San Francisco,USPS,21/07/2023,23/07/2023,15.2,67.11,Delivered,440,2
SH10023,Warehouse_SEA,Los Angeles,DHL,26/10/2023,29/10/2023,22.2,228.57,Delivered,1402,3
SH10024,Warehouse_DEN,Phoenix,USPS,11/08/2023,15/08/2023,5.3,37.32,Delivered,256,4
SH10025,Warehouse_NYC,Portland,UPS,27/04/2023,29/04/2023,40,124.29,Delivered,519,2
SH10026,Warehouse_DEN,Miami,UPS,30/12/2023,01/01/2024,8.7,73.52,Delivered,386,2
SH10027,Warehouse_DEN,Boston,USPS,30/12/2023,05/01/2024,10.1,309.59,Delayed,1986,5
SH10028,Warehouse_SF,Dallas,LaserShip,15/12/2023,20/12/2023,22.8,373.64,Delivered,2229,5
SH10029,Warehouse_SEA,Chicago,DHL,27/06/2023,03/07/2023,13,347.94,Delivered,2310,6
SH10031,Warehouse_BOS,Dallas,OnTrac,04/07/2023,08/07/2023,30.2,162.68,Delivered,1048,4
SH10032,Warehouse_CHI,New York,FedEx,27/09/2023,01/10/2023,11.3,206.19,Delivered,1551,4
SH10033,Warehouse_SF,Denver,USPS,26/03/2023,02/04/2023,15.8,66.35,Delayed,431,2
SH10034,Warehouse_SEA,Denver,OnTrac,21/02/2023,23/02/2023,10.7,76.52,Delivered,528,2
SH10035,Warehouse_BOS,Dallas,OnTrac,16/07/2023,17/07/2023,37.7,55.09,Lost,131,1
SH10036,Warehouse_ATL,Los Angeles,FedEx,02/06/2023,18/06/2023,27.9,123.81,Delayed,659,3
SH10037,Warehouse_SF,Dallas,Amazon Logistics,06/11/2023,11/11/2023,26.6,333.35,Delivered,2209,5
SH10038,Warehouse_SF,Detroit,LaserShip,04/11/2023,10/11/2023,30.7,282.71,Returned,1674,6
SH10040,Warehouse_BOS,Denver,Amazon Logistics,04/10/2023,10/10/2023,13.4,209.01,Delivered,1550,6
SH10041,Warehouse_NYC,Los Angeles,UPS,13/05/2023,17/05/2023,31.9,263.06,Delivered,1696,4
