Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep
1052,3/2/2023,Bob,North,"5,053.97",18,Furniture,152.75,267.22,Returning,0.09,Cash,Online,North-Bob
1093,21/04/2023,Bob,West,"4,384.02",17,Furniture,"3,816.39","4,209.44",Returning,0.11,Cash,Retail,West-Bob
1015,21/09/2023,David,South,"4,631.23",30,Food,261.56,371.40,Returning,0.2,Bank Transfer,Retail,South-David
1072,24/08/2023,Bob,South,"2,167.94",39,Clothing,"4,330.03","4,467.75",New,0.02,Credit Card,Retail,South-Bob
1061,24/03/2023,Charlie,East,"3,750.20",13,Electronics,637.37,692.71,New,0.08,Credit Card,Online,East-Charlie
1021,11/2/2023,Charlie,West,"3,761.15",32,Food,900.79,"1,106.51",New,0.21,Cash,Online,West-Charlie
1083,11/4/2023,Bob,West,618.31,29,Furniture,"2,408.81","2,624.09",Returning,0.14,Cash,Online,West-Bob
1087,6/1/2023,Eve,South,"7,698.92",46,Furniture,"3,702.51","3,964.65",New,0.12,Bank Transfer,Online,South-Eve
1075,29/06/2023,David,South,"4,223.39",30,Furniture,738.06,"1,095.45",New,0.05,Bank Transfer,Online,South-David
1075,9/10/2023,Charlie,West,"8,239.58",18,Clothing,"2,228.35","2,682.34",New,0.13,Bank Transfer,Online,West-Charlie
1088,16/11/2023,Eve,North,"8,518.45",13,Furniture,"2,440.11","2,517.60",New,0.23,Bank Transfer,Retail,North-Eve
1100,14/08/2023,Bob,West,"2,198.74",43,Food,"1,100.81","1,137.44",Returning,0.08,Bank Transfer,Online,West-Bob
1024,11/11/2023,Eve,West,"6,607.80",21,Food,622.01,641.09,Returning,0,Bank Transfer,Retail,West-Eve
1003,31/12/2023,Alice,South,"4,775.59",30,Furniture,"4,190.28","4,270.65",New,0.2,Cash,Online,South-Alice
1022,17/08/2023,Charlie,South,"8,813.55",21,Food,"2,537.20","2,869.60",New,0.29,Bank Transfer,Retail,South-Charlie
1053,16/10/2023,Bob,North,"2,235.83",48,Furniture,121.19,487.65,New,0.18,Cash,Retail,North-Bob
1002,30/05/2023,David,North,"6,810.35",17,Furniture,"4,024.76","4,420.15",Returning,0.04,Cash,Online,North-David
1088,4/10/2023,Bob,East,"6,116.75",40,Electronics,"4,904.93","5,034.35",New,0.1,Credit Card,Retail,East-Bob
1030,17/07/2023,David,West,"3,023.48",19,Clothing,"3,049.33","3,209.22",Returning,0.26,Cash,Online,West-David
1038,11/3/2023,Bob,South,"1,452.35",15,Clothing,"2,543.36","2,790.10",Returning,0.07,Cash,Online,South-Bob
1002,22/04/2023,Eve,North,"6,551.23",9,Electronics,"4,398.16","4,439.12",New,0.18,Bank Transfer,Online,North-Eve
1064,4/1/2023,Eve,East,"7,412.11",10,Electronics,"4,764.96","5,074.42",New,0.12,Cash,Online,East-Eve
1060,16/12/2023,Eve,East,"3,224.71",44,Clothing,"3,784.96","4,276.99",New,0.06,Bank Transfer,Retail,East-Eve
1021,27/11/2023,Alice,South,"6,483.84",31,Furniture,"2,254.99","2,441.79",Returning,0.24,Bank Transfer,Online,South-Alice
1033,14/11/2023,David,South,"4,011.80",23,Furniture,"2,981.50","3,360.40",Returning,0.22,Bank Transfer,Retail,South-David
1076,16/12/2023,Eve,East,"7,160.75",30,Clothing,"3,519.63","3,774.65",New,0.2,Credit Card,Retail,East-Eve
1058,5/4/2023,Alice,North,"2,072.23",33,Furniture,"1,011.65","1,084.28",Returning,0.07,Bank Transfer,Retail,North-Alice
